team_id,team_name,team_link,leagues,nationality,region,players,hits,comments
241,FC Barcelona,https://sofifa.com/team/241/fc-barcelona/,Spain Primera Division (1),Spain,Europe,33,0.1K,76K
243,Real Madrid,https://sofifa.com/team/243/real-madrid/,Spain Primera Division (1),Spain,Europe,33,0.1K,51.7K
45,Juventus,https://sofifa.com/team/45/juventus/,Italian Serie A (1),Italy,Europe,25,<100,26.3K
21,FC Bayern München,https://sofifa.com/team/21/fc-bayern-munchen/,German 1. Bundesliga (1),Germany,Europe,30,<100,60.8K
10,Manchester City,https://sofifa.com/team/10/manchester-city/,English Premier League (1),England,Europe,33,<100,57.9K
73,Paris Saint-Germain,https://sofifa.com/team/73/paris-saint-germain/,French Ligue 1 (1),France,Europe,32,<100,11.4K
240,Atlético Madrid,https://sofifa.com/team/240/atletico-madrid/,Spain Primera Division (1),Spain,Europe,33,<100,2.8K
5,Chelsea,https://sofifa.com/team/5/chelsea/,English Premier League (1),England,Europe,33,<100,86.3K
18,Tottenham Hotspur,https://sofifa.com/team/18/tottenham-hotspur/,English Premier League (1),England,Europe,33,<100,0.1M
9,Liverpool,https://sofifa.com/team/9/liverpool/,English Premier League (1),England,Europe,33,0.1K,0.2M
48,Napoli,https://sofifa.com/team/48/napoli/,Italian Serie A (1),Italy,Europe,24,<100,1.9K
44,Inter,https://sofifa.com/team/44/inter/,Italian Serie A (1),Italy,Europe,26,<100,21.5K
11,Manchester United,https://sofifa.com/team/11/manchester-united/,English Premier League (1),England,Europe,33,<100,0.2M
1,Arsenal,https://sofifa.com/team/1/arsenal/,English Premier League (1),England,Europe,33,0.1K,0.2M
22,Borussia Dortmund,https://sofifa.com/team/22/borussia-dortmund/,German 1. Bundesliga (1),Germany,Europe,31,0.1K,54.5K
236,FC Porto,https://sofifa.com/team/236/fc-porto/,Portuguese Liga ZON SAGRES (1),Portugal,Europe,28,<100,4.5K
245,Ajax,https://sofifa.com/team/245/ajax/,Holland Eredivisie (1),Netherlands,Europe,30,0.1K,7.5K
481,Sevilla FC,https://sofifa.com/team/481/sevilla-fc/,Spain Primera Division (1),Spain,Europe,33,<100,1.2K
461,Valencia CF,https://sofifa.com/team/461/valencia-cf/,Spain Primera Division (1),Spain,Europe,33,<100,1.2K
52,Roma,https://sofifa.com/team/52/roma/,Italian Serie A (1),Italy,Europe,27,<100,4.3K
46,Lazio,https://sofifa.com/team/46/lazio/,Italian Serie A (1),Italy,Europe,27,<100,0.7K
47,Milan,https://sofifa.com/team/47/milan/,Italian Serie A (1),Italy,Europe,28,<100,61.1K
449,Real Betis,https://sofifa.com/team/449/real-betis/,Spain Primera Division (1),Spain,Europe,33,<100,0.5K
32,Bayer 04 Leverkusen,https://sofifa.com/team/32/bayer-04-leverkusen/,German 1. Bundesliga (1),Germany,Europe,25,<100,1K
112172,RB Leipzig,https://sofifa.com/team/112172/rb-leipzig/,German 1. Bundesliga (1),Germany,Europe,32,<100,1.8K
448,Athletic Club de Bilbao,https://sofifa.com/team/448/athletic-club-de-bilbao/,Spain Primera Division (1),Spain,Europe,33,<100,1.1K
7,Everton,https://sofifa.com/team/7/everton/,English Premier League (1),England,Europe,33,<100,2.8K
483,Villarreal CF,https://sofifa.com/team/483/villarreal-cf/,Spain Primera Division (1),Spain,Europe,33,<100,0.2K
234,SL Benfica,https://sofifa.com/team/234/sl-benfica/,Portuguese Liga ZON SAGRES (1),Portugal,Europe,28,<100,23.8K
19,West Ham United,https://sofifa.com/team/19/west-ham-united/,English Premier League (1),England,Europe,33,<100,3.5K
23,Borussia Mönchengladbach,https://sofifa.com/team/23/borussia-monchengladbach/,German 1. Bundesliga (1),Germany,Europe,29,<100,0.5K
